Reseau	Mares	Bois	Cultures	Prairies	Surf_Urbanisees	Longueur_haies	Nb_de_mares	 Vegetation_aquatique	Perimetre	Surface	Pente_en_rive_moyenne	Profondeur_maximum	Ecrevisses	Poissons	Hydroperiode	Anthropique	Ripysylve
Mes	M_0033bis	0.273825854	0.363444244	0.155115501	0.088646913	665.7462595	4	beaucoup	43.17	103.90	10.85	0.5	0	0	Temporaire	Agricole	NA
Mes	M_0034	0.10290515	0.309730271	0.372401198	0.020408089	1839.419689	4	intermediaire	58.49	232.01	13.59	0.65	0	0	Permanent	Agricole	NA
Mes	M_0035	0.218539283	0.134214607	0.331198066	0.019596365	988.9920965	2	peu	72.83	293.49	24.52	0.8	1	1	NA	Agricole	NA
Mes	M_0036	0.054162301	0.341833208	0.435338545	0.017120198	1756.126562	4	beaucoup	49.00	142.51	9.93	1	0	0	Permanent	Agricole	NA
Mes	M_0037	0.115170566	0.332416109	0.371669102	0.045164678	1803.778139	4	intermediaire	38.28	67.78	19.29	1.439442206	0	1	Permanent	Agricole	NA
Mes	M_0038	0.118006425	0.383099682	0.104540994	0.181872478	1265.643042	3	beaucoup	57.55	210.35	25.99	0.7	1	1	Permanent	Recreationnel	NA
Mes	M_0038bis	0.256366385	0.333344304	0.175716049	0.094300302	757.4778301	4	beaucoup	87.39	325.56	32.62	0.95	0	0	Permanent	Recreationnel	NA
Mes	M_0039	0.081507924	0.315392475	0.407237621	0.018342367	1701.446471	4	beaucoup	19.17	26.13	7.13	0.25	0	0	Temporaire	Agricole	NA
Mes	M_0040	0.062835966	0.501599336	0.195574431	0.103393219	2497.328983	2	beaucoup	40.58	98.24	12.68	0.55	1	0	Temporaire	Agricole	NA
Mes	M_0043	0.006181293	0.387394047	0.171959087	0.360483967	1934.128216	2	beaucoup	36.52	70.98	15.38	0.6	0	0	Permanent	Recreationnel	NA
Mes	M_0045	0.116037877	0.779571952	0.019469897	0.038006224	1287.038568	0	intermediaire	52.98	126.96	14.04	1.5	0	1	Permanent	Agricole	NA
Mes	M_0046	0.164305164	0.570515917	0.077634522	0.117176654	1867.143049	3	beaucoup	47.64	151.60	10.85	1.15	0	0	Permanent	Agricole	NA
Mes	M_0047	0.107896424	0.489756675	0.149044149	0.16448798	2299.404655	9	peu	141.13	1267.24	25.21	3.583260922	1	1	Permanent	Recreationnel	NA
Mes	M_0048	0.119831247	0.58450692	0.1191825	0.087960801	2266.087036	6	beaucoup	52.57	165.59	13.13	1	0	0	Permanent	Agricole	NA
Mes	M_0049	0.05575988	0.339743097	0.265239848	0.196448932	2104.969508	9	peu	44.82	113.85	34.02	5.697549495	1	0	Permanent	Agricole	NA
Mes	M_0050	0.01671099	0.295789566	0.310515821	0.254551349	1823.702148	8	peu	55.94	205.49	26.57	1.3	0	1	Permanent	Recreationnel	NA
Mes	M_0051	0.111113886	0.428607238	0.330418122	0.041454212	1932.876678	1	peu	72.49	242.85	13.59	0.75	0	1	Permanent	Recreationnel	100
Mes	M_0052	0.064351325	0.354559689	0.281657616	0.142964893	2384.494517	9	peu	31.19	58.34	18.00	0.6	0	0	Temporaire	Agricole	NA
Mes	M_0053	0.020510329	0.268215824	0.347111896	0.228160838	1927.557859	9	beaucoup	78.19	316.16	11.65	2.290107947	0	0	Permanent	Recreationnel	NA
Mes	M_0054	0.088139313	0.196972222	0.449751387	0.103380649	2193.17274	8	peu	51.99	115.49	8.53	0.55	1	0	Temporaire	Recreationnel	NA
Mes	M_0055	0.084877782	0.251826516	0.393116254	0.11646471	2334.67048	9	peu	48.75	122.13	18.86	0.75	0	1	Permanent	Recreationnel	NA
Mes	M_0057	0.077692708	0.654164266	0.149788681	0.054658416	1568.065414	1	beaucoup	35.64	79.16	16.04	0.8	0	0	Temporaire	Agricole	NA
Mes	M_0058	0.001054333	0.301622116	0.546689771	0.051774008	1148.705841	5	peu	51.24	376.94	26.28	0.75	0	1	Permanent	Agricole	NA
Mes	M_0059	0.166218033	0.059907839	0.464181188	0.102714284	1938.138123	8	peu	79.21	222.36	21.80	1.35	0	1	Permanent	Agricole	NA
Mes	M_0060	0.12280649	0.127804598	0.455882422	0.10390656	1927.645657	1	beaucoup	29.67	55.40	19.93	0.65	1	1	Permanent	Recreationnel	NA
Mes	M_0062	0.111450736	0.277591237	0.244549809	0.07606782	880.3712442	2	beaucoup	45.27	137.37	11.77	0.45	0	0	Temporaire	Recreationnel	NA
Mes	M_0116	0.142898171	0.229496371	0.215136133	0.122165345	697.3736081	1	peu	94.39	401.67	23.03	0.75	0	1	Permanent	Recreationnel	NA
Mes	M_0125	0.139504781	0.082316146	0.347636859	0.06362193	757.2567308	2	peu	11.63	7.30	14.04	0.6	0	0	NA	Agricole	NA
Mes	M_0126	0.089857993	0.200870261	0.239549452	0.379813808	1516.483963	3	beaucoup	82.57	427.56	17.74	0.8	0	0	Permanent	Recreationnel	NA
Mes	M_0127	0.141835654	0.128070126	0.247696052	0.355700655	1201.303086	3	beaucoup	46.42	144.67	29.18	0.9	0	0	NA	Recreationnel	NA
Mes	M_0128	0.169254328	0.432162366	0.309211724	0.01813304	987.923048	5	peu	33.78	75.33	41.99	1.6	0	1	Permanent	Agricole	NA
Mes	M_0129	0.204658508	0.300487918	0.282518122	0.015941936	1489.963819	3	beaucoup	77.48	217.20	8.18	0.3	1	0	Temporaire	Agricole	NA
Mes	M_0131	0.290746847	0.459936474	0.094344071	0.016327443	567.4815493	5	intermediaire	31.86	72.99	11.31	0.5	0	0	NA	Agricole	NA
Mes	M_0132	0.298785278	0.450416118	0.099682436	0.014804864	532.579637	1	beaucoup	32.99	55.93	11.31	0.3	1	0	NA	Agricole	NA
Mes	M_0134	0.042981658	0.745450679	0.153609535	0.018675607	803.8133911	2	peu	37.40	77.93	7.13	0.6	0	0	NA	Agricole	NA
Mes	M_0136	0.045492705	0.361508108	0.442727153	0.034487191	1201.794939	2	peu	51.97	156.46	36.56	1.25	0	0	NA	Agricole	NA
Mes	M_0140	0.166871648	0.149759238	0.124728624	0.080326171	930.4962901	2	peu	43.70	128.94	12.23	0.35	1	1	Permanent	Agricole	NA
Mes	M_0141	0.189935662	0.16342379	0.394342295	0.056803151	1180.58004	1	peu	47.65	126.51	26.18	1.25	1	0	Permanent	Agricole	NA
Mes	M_0142	0.054312791	0.68052523	0.086764335	0.084137212	1020.115202	1	beaucoup	45.94	149.86	21.39	1.15	0	0	NA	Agricole	NA
Mes	M_0143	0	0.25327107	0.210908373	0.306838165	1517.405199	1	peu	19.76	28.03	35.94	1.8	1	0	NA	Recreationnel	NA
Mes	M_0145	0.10334643	0.541134471	0.102922265	0.14141357	1079.647026	0	peu	52.23	163.62	32.35	0.9	1	1	Permanent	Recreationnel	NA
Mes	M_0762	0.073990031	0.269921688	0.443371968	0.112811374	1846.698895	3	peu	98.32	278.69	28.15	2.026393917	0	1	Permanent	Recreationnel	NA
Mes	M_0806	0.086959741	0.229148642	0.434554247	0.06018541	1906.011121	5	peu	256.26	1636.48	23.63	2.703765795	1	1	Permanent	Agricole	NA
Mes	M_0812	0.084090956	0.375587993	0.311683609	0.149141474	2267.879275	4	peu	121.26	873.96	21.18	0.9	1	1	Permanent	Recreationnel	NA
Mes	M_0853	0.147773118	0.282442276	0.255221945	0.058213749	2324.623483	1	peu	424.98	8950.53	11.31	5.634338122	1	1	Permanent	Recreationnel	NA
Mes	M_0893	0.074244168	0.102154161	0.628800425	0.090070281	2082.50168	1	peu	132.83	902.40	29.72	1.6	0	1	Permanent	Recreationnel	NA
Mes	M_0893bis	0.141197219	0.001355462	0.718635794	0.081048503	1418.229552	3	peu	51.90	199.85	16.26	0.45	0	0	Temporaire	Agricole	NA
Mes	M_0894	0.119235408	0.3854125	0.082371318	0.202317977	988.4921973	1	beaucoup	34.94	52.68	29.36	1.5	0	0	Permanent	Agricole	NA
Mes	M_0961	0.111804128	0.029144684	0.471887143	0.200723801	719.4667761	3	intermediaire	86.82	526.39	13.22	1.2	1	0	Temporaire	Recreationnel	NA
Mes	M_1038	0.085426859	0.302328369	0.376948625	0.177097769	1524.011903	3	beaucoup	35.53	82.22	29.90	3.69939854	1	0	Permanent	Recreationnel	NA
Mes	M_1038bis	0.090478864	0.316133551	0.357603816	0.171891432	1627.795889	5	intermediaire	43.08	108.86	15.82	0.7	1	0	Permanent	Recreationnel	NA
Mes	M_Bois	0.123456517	0.583711534	0.12722016	0.090510766	2205.168093	7	peu	26.76	47.26	14.04	0.3	1	0	NA	Agricole	NA
Mes	M_D	0.049614312	0.300422248	0.150649516	0.426098761	1348.093945	0	peu	35.61	69.27	11.31	0.2	0	0	Temporaire	Recreationnel	NA
Mes	M_F	0.113799208	0.295575184	0.359517079	0.112102087	1619.938528	5	beaucoup	58.28	202.59	16.70	5.842975229	0	0	Permanent	Recreationnel	NA
Mes	M_G	0.000570662	0.280498133	0.547886833	0.050204489	1131.811428	3	peu	69.39	151.10	14.93	3.793294163	0	0	Temporaire	Agricole	NA
Mes	M_L	0	0.366600089	0.251887991	0.195200317	1735.374639	2	peu	35.53	67.40	37.78	1.15	0	0	Temporaire	Recreationnel	NA
Mes	M_Sup1	0.12760119	0.582084895	0.230070506	0.015962605	975.336425	4	peu	51.25	126.15	9.00	0.6	1	0	Permanent	Agricole	NA
Briere	M_0044	0.097532439	0.595818268	0.112220236	0.099720366	1692.563192	1	beaucoup	39.38	98.61	8.53	0.8	0	0	Temporaire	Agricole	80
Briere	M_0056	0.09127056	0.509010589	0.125233646	0.176536099	1384.015288	1	beaucoup	34.18	68.50	18.00	1.15	0	0	Temporaire	Agricole	0
Briere	M_0061	0.245805073	0.049493799	0.49099538	0.046953768	1394.1918	3	beaucoup	33.24	57.44	25.41	0.9	0	0	NA	Agricole	NA
Briere	M_0063	0.046492563	0.093410323	0.206670546	0.333700468	391.0069362	2	beaucoup	95.76	415.77	24.70	4.048348737	1	0	Permanent	Recreationnel	NA
Briere	M_0064	0.108928147	0.654614124	0.157383402	0.060839796	357.1277544	2	beaucoup	99.75	651.13	23.99	1.8	0	0	Permanent	Agricole	80
Briere	M_0065	0.092222671	0.680043191	0.133506437	0.06930601	624.3659902	2	peu	99.23	601.05	14.84	0.75	1	1	Permanent	Agricole	5
Briere	M_0066	0.256305103	0.023590853	0.42061542	0.018524989	1336.02735	4	peu	43.78	143.93	18.86	1.15	0	0	Permanent	Agricole	30
Briere	M_0067	0.184877581	0.535355444	0.167156144	0.027803569	1613.085957	4	beaucoup	39.39	98.90	9.23	0.25	0	0	Temporaire	Agricole	40
Briere	M_0068	0.365805938	0.175989475	0.298873043	0.057967679	1137.786066	2	peu	129.76	1001.72	18.43	1.3	1	0	Permanent	Agricole	100
Briere	M_0069	0.209453338	0.495323634	0.085495928	0.09332468	450.9158795	6	intermediaire	58.52	166.20	27.70	2.315680747	1	0	Permanent	Agricole	60
Briere	M_0070	0.186323847	0.429941053	0.252325948	0.043281661	1330.979962	3	intermediaire	92.04	525.49	30.11	0.95	1	0	Permanent	Recreationnel	75
Briere	M_0071	0.086051652	0.426560161	0.37998011	0.057582193	1096.159797	3	peu	45.88	134.96	21.80	1.542572014	0	0	Permanent	Agricole	40
Briere	M_0072	0.27208083	0.374902782	0.200451572	0.054722762	1272.196461	3	peu	106.42	459.57	26.76	2.045225883	1	0	Permanent	Recreationnel	90
Briere	M_0073	0.27736389	0.016709398	0.507062367	0.158349085	949.9457547	3	beaucoup	46.67	143.11	16.26	0.7	1	0	Temporaire	Agricole	100
Briere	M_0074	0.065035885	0.013683414	0.768453375	0.079598593	1915.139217	3	peu	145.19	1355.53	11.77	2.285683919	1	1	Permanent	Agricole	65
Briere	M_0075	0.333582354	0.04847933	0.478522668	0.055326452	1405.388626	5	peu	139.08	1048.63	21.60	1.912295474	1	1	Permanent	Agricole	70
Briere	M_0075bis	0.172285763	0.2773553	0.295534565	0.091841002	1557.169249	4	peu	134.39	1051.00	18.22	0.65	1	1	Permanent	Recreationnel	90
Briere	M_0076	0.109841585	0.60109848	0.197590167	0.024560596	1966.765781	2	peu	76.83	280.17	17.03	0.8	1	0	Permanent	Agricole	0
Briere	M_0077	0.140091752	0.203584484	0.27489594	0.140066359	504.4187502	1	beaucoup	66.67	274.56	12.34	0.85	0	1	Permanent	Recreationnel	NA
Briere	M_0079bis	0.003738837	0.15181891	0.461404261	0.259174342	1271.498956	3	peu	58.14	241.30	20.14	0.9	1	1	Permanent	Recreationnel	NA
Briere	M_0081	0.347441047	0.193805869	0.090786886	0.018788198	950.0261491	1	intermediaire	14.93	12.54	18.00	0.9	0	0	Temporaire	Agricole	NA
Briere	M_0083	0.058567186	0.28918404	0.523306551	0.04219789	1394.047711	2	peu	17.07	18.12	24.23	0.45	0	0	Temporaire	Agricole	NA
Briere	M_0085bis	0.010556627	0.295649067	0.598225378	0.034194592	1829.381995	6	peu	32.37	74.86	29.90	1.8	0	0	Temporaire	Agricole	75
Briere	M_0086	0.00072128	0.235219155	0.686307481	0.015696458	1629.981656	5	peu	34.83	83.58	25.99	1.15	1	0	Permanent	Agricole	40
Briere	M_0087	0.000718805	0.47583418	0.450924592	0.011780433	1903.021446	5	beaucoup	37.00	104.71	17.35	0.5	0	0	Permanent	Agricole	60
Briere	M_0088	0.000708353	0.261182142	0.649627384	0.016075413	2112.204016	5	peu	46.63	145.76	17.14	0.95	1	0	Permanent	Agricole	25
Briere	M_0089	0.000720357	0.148857641	0.764672563	0.01599859	1949.982835	5	peu	35.66	90.45	12.00	0.2	1	0	Permanent	Agricole	20
Briere	M_0090	0.000704976	0.207482935	0.705586992	0.015988943	2034.691	1	peu	57.83	153.32	18.86	0.6	1	0	Permanent	Agricole	80
Briere	M_0091	0.022074843	0.004061163	0.872694645	0.008663532	1294.158946	1	beaucoup	45.98	137.86	18.43	1	1	0	Permanent	Agricole	50
Briere	M_0092	0.058401759	0.048990201	0.562581169	0.014214052	1719.612647	1	beaucoup	297.19	6188.41	14.93	0.85	1	1	Permanent	Agricole	0
Briere	M_0093	0.215280123	0.461896409	0.209587563	0.026105748	1467.771296	2	beaucoup	47.97	152.65	16.70	0.35	0	0	Temporaire	Recreationnel	100
Briere	M_0094	0.372553028	0.384760404	0.138348028	0.024091544	934.1560809	3	beaucoup	78.44	300.48	19.61	1.3	1	0	Permanent	Agricole	10
Briere	M_0095	0.123340581	0.00660461	0.773402817	0.035274868	2157.120423	2	intermediaire	179.40	1391.17	12.91	0.6	1	1	Permanent	Agricole	70
Briere	M_0096	0.237114839	0.115402089	0.461395887	0.143733524	1306.797373	2	beaucoup	47.04	142.75	25.80	0.7	0	0	Temporaire	Recreationnel	80
Briere	M_0097	0.311052625	0.128971094	0.380252558	0.136727979	1098.327226	2	intermediaire	60.37	222.51	26.85	0.9	0	0	Temporaire	Recreationnel	70
Briere	M_0098	0.495879582	0.047141501	0.284535776	0.084156379	1004.017934	2	beaucoup	44.68	130.85	14.71	0.4	0	0	Permanent	Recreationnel	100
Briere	M_0099	0.605667762	0.147992657	0.163585346	0.01717291	467.096376	2	beaucoup	47.93	87.23	14.93	0.75	1	0	Permanent	Agricole	95
Briere	M_0100	0.037828692	0.285287742	0.554322988	0.028634105	1987.679437	0	intermediaire	37.38	87.15	21.80	1.2	0	0	Permanent	Agricole	10
Briere	M_0101	0.046113988	0.296274602	0.597429248	0.026819522	1356.661423	1	beaucoup	95.43	484.44	19.54	1.2	0	0	Permanent	Agricole	50
Briere	M_0104	0.245368627	0.286136331	0.075456337	0.020280111	1359.721057	1	intermediaire	26.27	52.27	16.04	0.6	1	0	Temporaire	Agricole	NA
Briere	M_0105	0.33479565	0.194832657	0.395733099	0.029719842	1528.128917	1	peu	30.81	61.88	35.47	1.4	0	0	NA	Agricole	NA
Briere	M_0106	0.533833138	0	0.166428135	0.013492135	267.7129403	0	beaucoup	15.85	15.39	15.38	0.3	1	0	Temporaire	Agricole	NA
Briere	M_0107	0.604229829	0	0.048678276	0.000142924	0	4	intermediaire	14.68	13.00	20.56	0.5	1	0	Temporaire	Agricole	NA
Briere	M_0108	0.208107811	0.416476998	0.092616778	0.058284363	917.9703744	4	peu	53.07	189.40	11.77	0.9	1	0	Temporaire	Recreationnel	95
Briere	M_0109	0.194484517	0.346211442	0.153071601	0.102928066	1058.855164	1	beaucoup	64.42	261.14	29.08	1.1	0	0	Permanent	Recreationnel	20
Briere	M_0111	0.173260785	0.333594073	0.261815091	0.0828384	1430.709483	2	peu	21.59	34.11	21.18	0.5	1	0	Temporaire	Agricole	40
Briere	M_0112	0.046931553	0.006661375	0.814268946	0.025453363	1617.825203	3	intermediaire	53.09	179.28	8.53	0.25	1	0	Permanent	Agricole	30
Briere	M_0114	0.036648079	0.530458088	0.352899753	0.024916902	2179.593339	3	peu	45.67	134.97	24.62	1.25	0	0	Temporaire	Agricole	100
Briere	M_0115	0.045445132	0.483904386	0.38008965	0.027824275	2547.248535	3	intermediaire	61.51	204.70	34.99	2.2	0	0	Permanent	Agricole	45
Briere	M_0118	0.012859528	0.059560412	0.478792177	0.015766512	1412.803095	0	intermediaire	98.78	431.34	12.13	0.35	1	0	Permanent	Agricole	20
Briere	M_0119	0.602306733	0.014842287	0	0.004233578	0	4	peu	57.20	132.77	20.14	0.95	1	1	Temporaire	Agricole	50
Briere	M_0120	0.208156021	0	0.040318009	0	0	4	peu	12.87	9.58	8.53	0.4	1	0	Temporaire	Agricole	100
Briere	M_0120bis	0.204517451	0	0.04097899	0	0	4	peu	26.73	41.56	14.04	0.65	1	0	Temporaire	Agricole	NA
Briere	M_0121	0.189568614	0	0.040128602	0	0	4	peu	87.03	155.06	11.59	0.45	1	0	Temporaire	Agricole	100
Briere	M_0122	0.191035573	0	0.021558023	0	0	4	peu	24.49	39.15	13.36	0.45	1	0	Temporaire	Agricole	100
Briere	M_0122bis	0.186226523	0	0.018985477	0	0	2	peu	35.63	84.96	16.04	0.7	1	0	Temporaire	Agricole	NA
Briere	M_0123	0.030783777	0.049111736	0.231553555	0.42228546	308.2160749	2	peu	77.38	393.36	18.97	1.1	1	0	Permanent	Recreationnel	NA
Briere	M_0124	0.027899961	0.075169335	0.210982556	0.44732132	342.0066796	1	beaucoup	33.43	52.16	43.15	3.950520019	1	0	NA	Recreationnel	NA
Briere	M_0144	0.261104226	0.04597674	0.039592137	0.011845468	0	3	beaucoup	17.91	23.44	9.93	0.2	1	0	Temporaire	Agricole	0
Briere	M_0146	0.017221275	0.259007619	0.345693865	0.30581935	1100.774184	2	peu	16.55	17.03	9.93	0.4	0	0	Temporaire	Recreationnel	NA
Briere	M_0147	0.039912888	0.216873065	0.592013274	0.036565499	2352.129207	4	beaucoup	53.74	172.61	10.85	1.8	1	0	Permanent	Recreationnel	30
Briere	M_0888	0.093893884	0.02357435	0.357743698	0.244082479	592.9229753	3	peu	118.31	780.08	16.92	1.35	1	1	Permanent	Recreationnel	NA
Briere	M_0932	0.272131282	0.009519976	0.239911896	0.147983666	986.581617	0	peu	339.99	3585.94	14.93	2.21580354	1	1	Permanent	Agricole	NA
Briere	M_0937	0.236290882	0.234993774	0.332794981	0	654.2873646	1	peu	64.76	225.82	23.93	0.65	1	0	Permanent	Agricole	50
Briere	M_0949	0.10410888	0.050097196	0.368734576	0.191960331	754.2083518	1	beaucoup	51.75	208.06	18.86	0.5	1	0	Temporaire	Recreationnel	NA
Briere	M_0954	0.343487541	0.159603807	0.263450969	0.065406172	1231.646184	0	beaucoup	77.69	430.94	18.00	4.277205457	0	0	Permanent	Recreationnel	NA
Briere	M_0960	0.410949313	0.178375252	0.292896227	0.068810895	865.220131	1	intermediaire	132.83	1186.87	22.62	2.186283424	0	1	Permanent	Recreationnel	90
Briere	M_1011	0.051968793	0.057297595	0.641160666	0.216715066	1213.774599	2	peu	81.87	348.02	16.04	0.4	0	1	Temporaire	Recreationnel	30
Briere	M_1016	0.424565654	0.254446551	0.257066864	0.035720376	489.9941207	3	peu	146.56	1079.13	20.35	1	1	0	Permanent	Recreationnel	95
Briere	M_1040	0.06192122	0	0.625990328	0.01584028	1995.787044	2	peu	173.70	2142.52	16.92	2.509043622	1	1	Permanent	Agricole	10
Briere	M_1123	0.262353768	0.097109125	0.14960703	0.005330751	342.930408	2	beaucoup	358.57	7022.79	9.69	2.983101387	1	1	Permanent	Agricole	0
Briere	M_1141	0.162718768	0.174214402	0.262489216	0.144198906	481.828879	2	beaucoup	59.05	227.00	13.13	0.75	0	0	Permanent	Recreationnel	NA
Briere	M_1178	0.318068057	0.138828172	0.449840784	0.042266833	398.1906515	2	intermediaire	82.27	340.82	12.68	0.5	1	1	Permanent	Agricole	50
Briere	M_1179	0.345713257	0.148975167	0.268695028	0.01747242	509.9431604	6	beaucoup	256.61	3881.87	8.53	2.178402832	1	1	Permanent	Agricole	0
Briere	M_1180	0.00069588	0.179424358	0.74224704	0.016422427	1677.037142	1	peu	58.29	234.29	25.99	0.9	0	0	Permanent	Recreationnel	100
Briere	M_1199	0.230328379	0.066086048	0.18886701	0.009167783	0	3	intermediaire	87.25	576.43	9.93	0.7	1	1	Permanent	Agricole	10
Briere	M_1203	0.187838214	0	0.57784872	0.017234176	1762.173088	1	beaucoup	83.62	118.25	9.23	0.4	1	1	Temporaire	Agricole	100
Briere	M_A	0.384018234	0.180919777	0.173151095	0.078604355	1361.190016	2	beaucoup	49.60	139.26	17.57	0.85	0	1	Permanent	Recreationnel	NA
Briere	M_B	0.165701075	0.307187822	0.248442868	0.105253565	1179.657943	5	peu	48.09	139.94	17.57	0.55	1	0	Temporaire	Recreationnel	100
Briere	M_C	0.132642322	0.366309302	0.44201337	0.024327811	1163.008408	3	peu	59.13	213.91	14.93	0.9	0	0	Permanent	Agricole	60
Briere	M_I	0.221955643	0.32196906	0.202157967	0.124238816	670.1332835	3	intermediaire	78.29	236.34	19.93	0.6	0	1	Permanent	Agricole	70
Briere	M_J	0.310530978	0.004007194	0.228570558	0.208969529	573.1714818	1	intermediaire	65.18	277.52	13.36	1.15	1	1	Permanent	Recreationnel	NA
Briere	M_K	0.101733425	0.053178963	0.102586922	0.058430784	392.3820498	0	beaucoup	57.27	249.38	19.29	1.038420599	1	1	Permanent	Recreationnel	NA
